Cod_SBS,Cod_Emp,Tipo_Credit,Nivel2,Moneda,SubCodigoCuenta,Condicion,Val_Saldo,Clasif_Deu,Cod_Cuenta
2013267433,70000,60,98,4,14051100000,000000,0000,0,98414051100000
2013267433,70000,60,91,4,18130000000,000000,0000,0,91418130000000
2013267433,70000,40,88,4,24100000000,000000,0000,0,88424100000000
2013267433,70000,40,88,1,18011202000,000000,0000,0,88118011202000
2003421018,70000,60,88,4,24020102000,000000,0000,0,88424020102000
2003421018,70000,60,88,1,19371201000,000000,0000,0,88119371201000
2003421018,70000,60,87,2,15061200000,000000,0000,0,87215061200000
2003421018,70000,60,81,4,11121100000,000000,0000,0,81411121100000
2003421018,70000,60,88,4,14051100000,000000,0000,0,88414051100000
2003421018,70000,60,88,1,18011201000,000000,0000,0,88118011201000
2003421018,70000,60,81,4,21120200000,000000,0000,0,81421120200000
2003421018,70000,60,88,4,14100000000,000000,0000,0,88414100000000
2003421018,70000,60,88,1,18011202000,000000,0000,0,88118011202000
2003421018,70000,60,81,4,18120000000,000000,0000,0,81418120000000
2003421018,70000,60,81,4,11120602000,000000,0000,0,81411120602000
2003421018,70000,60,88,4,14020900000,000000,0000,0,88414020900000
2015338790,70000,60,87,2,15061200000,000000,0000,0,87215061200000
2015338790,70000,60,81,5,15090000000,000000,0000,0,81515090000000
2015338790,70000,60,81,4,11120602000,000000,0000,0,81411120602000
2015338790,70000,60,88,4,24020102000,000000,0000,0,88424020102000
2015338790,70000,60,88,4,14100000000,000000,0000,0,88414100000000
2015338790,70000,60,81,4,11120200000,000000,0000,0,81411120200000
2015338790,70000,60,81,4,18120000000,000000,0000,0,81418120000000
2012028603,00000,10,97,2,15061300000,000000,0000,0,97215061300000
2012028603,00000,60,91,4,18130000000,000000,0000,0,91418130000000
2012028603,00000,60,98,4,14051100000,000000,0000,0,98414051100000
2012028603,00000,60,98,1,18011302000,000000,0000,0,98118011302000
2012028603,00000,60,98,1,18011301000,000000,0000,0,98118011301000
2012028603,00000,60,98,4,14100000000,000000,0000,0,98414100000000
2012028603,00000,60,91,4,11130602000,000000,0000,0,91411130602000
2013084942,30000,10,81,4,18120000000,000000,0000,0,81418120000000
2013084942,30000,10,82,9,11020100000,000000,0000,0,82911020100000
2013084942,30000,60,88,1,18011201000,000000,0000,0,88118011201000
2013084942,30000,10,88,1,18011202000,000000,0000,0,88118011202000
2013084942,30000,10,88,4,24020102000,003130,0000,0,88424020102000
2013084942,30000,60,88,4,14051100000,000000,0000,0,88414051100000
2013084942,30000,10,88,1,18011201000,000000,0000,0,88118011201000
2013084942,30000,10,88,4,14051100000,000000,0000,0,88414051100000
2013084942,30000,60,88,1,18011202000,000000,0000,0,88118011202000
2013084942,30000,60,81,4,18120000000,000000,0000,0,81418120000000
2013084942,30000,10,87,2,15061200000,000000,0000,0,87215061200000
2013084942,30000,60,88,4,14100000000,000000,0000,0,88414100000000
2013084942,30000,10,81,4,11120602000,000000,0000,0,81411120602000
2013084942,30000,60,81,4,11120602000,000000,0000,0,81411120602000
2006664443,00012,69,98,4,24100000000,000000,0000,0,98424100000000
2006664443,00000,29,98,4,24020800000,000000,0000,0,98424020800000
2011603878,10000,20,81,4,19120100000,014320,0000,0,81419120100000
2011603878,10000,20,81,4,16120602000,014320,0000,0,81416120602000
2011603878,10000,20,82,9,11010600000,014320,0000,0,82911010600000
2011603878,10000,20,88,4,14100000000,000000,0000,0,88414100000000
2011603878,10000,10,88,1,13020000000,026130,0000,0,88113020000000
2011603878,10000,20,88,4,24020102000,024990,0000,0,88424020102000
2013271907,10000,40,91,4,19130100000,000000,0000,0,91419130100000
2013271907,10000,40,91,4,16130602000,019570,0000,0,91416130602000
2013271907,10039,60,91,4,16130602000,021020,0000,0,91416130602000
2013271907,10039,60,91,4,19130100000,021020,0000,0,91419130100000
2013601485,40000,11,01,4,19020100000,000000,0000,0,01419020100000
2013601485,40000,11,08,1,19370201000,000000,0000,0,08119370201000
2013601485,40000,11,01,4,11020201000,000240,0000,0,01411020201000
2013601485,40000,11,01,4,11020209000,000240,0000,0,01411020209000
2013601485,40000,11,01,4,18020000000,000240,0000,0,01418020000000
2013601485,40000,11,07,2,15060200000,000000,0000,0,07215060200000
2010329655,20000,10,98,1,13020000000,034570,0000,0,98113020000000
2010329655,20000,69,91,5,25090000000,000000,0000,0,91525090000000
2014481677,30000,10,98,1,13020000000,022280,0000,0,98113020000000
2013543407,80000,11,02,9,11020100000,000000,0000,0,02911020100000
